,0,1,2,3,4,5,6
529,0.0,0.119,0.0,1.09,-0.11,2.0,3.099
530,2.909,0.0,0.0,0.0,0.0,2.0,4.909
531,0.192,0.0,0.0,0.631,0.0,2.0,2.823
532,,,,0.204,0.0,0.0,
533,,,0.0,2.525,-0.506,0.0,
534,,,0.0,0.335,-0.259,0.0,
535,0.0,0.0,0.0,0.816,-0.477,2.0,2.338
536,0.0,0.046,0.0,0.075,0.0,1.0,1.121
537,0.494,0.0,0.0,0.0,0.0,2.0,2.494
538,,,0.0,1.727,-0.276,0.0,
539,,,0.0,0.816,-0.477,0.0,
540,1.331,0.489,0.0,0.631,0.0,2.0,4.451
541,0.224,0.351,0.0,0.289,0.0,1.0,1.865
542,0.615,0.0,0.0,0.289,0.0,2.0,2.904
543,,,0.0,0.335,-0.259,0.0,
544,0.0,0.0,0.0,0.938,-0.334,2.0,2.604
545,0.0,0.0,0.0,0.326,0.0,1.0,1.326
546,0.79,0.174,0.0,0.264,0.0,2.0,3.229
547,,,0.0,2.525,-0.506,0.0,
548,0.0,0.0,0.0,0.3,-0.278,2.0,2.022
549,1.708,0.223,0.0,0.631,0.0,2.0,4.562
550,0.0,0.0,0.0,1.727,-0.276,2.0,3.451
551,2.18,0.0,0.92,0.0,0.0,2.0,5.099
552,1.037,0.0,0.0,0.631,0.0,2.0,3.668
553,0.0,0.193,0.0,1.058,-0.239,2.0,3.012
554,1.293,1.733,0.0,0.432,0.0,1.0,4.458
555,,,0.0,0.631,0.0,0.0,
556,0.0,0.124,1.353,1.058,-0.239,2.0,4.296
557,0.0,0.0,0.0,0.0,0.0,1.0,1.0
558,0.319,0.137,0.0,0.3,-0.278,2.0,2.478
559,0.0,1.099,0.0,0.235,0.0,2.0,3.333
560,,,0.0,0.289,0.0,0.0,
561,0.0,0.0,0.0,0.938,-0.334,1.0,1.604
562,,,0.0,0.235,0.0,0.0,
563,,,0.0,0.075,0.0,0.0,
564,0.0,0.097,0.0,0.204,0.0,2.0,2.301
565,,,0.0,0.3,-0.278,0.0,
566,0.144,0.029,0.0,0.631,0.0,1.0,1.804
567,0.184,0.0,0.0,0.075,0.0,2.0,2.259
568,,,0.0,0.502,0.0,0.0,
569,0.0,0.17,0.0,0.502,0.0,2.0,2.671
