fpl_id,understat_id,gameweek,kickoff_date,completed,home_team,away_team,home_score,away_score,home_proj_score,away_proj_score,home_xG,away_xG
198,16574,20.0,2021-12-30,1,Man Utd,Burnley,3.0,1.0,1.89,0.98,1.94,1.1
199,16575,20.0,2021-12-28,1,Southampton,Spurs,1.0,1.0,1.22,1.58,0.37,3.18
200,16569,20.0,2021-12-28,1,Watford,West Ham,1.0,4.0,1.27,1.56,1.25,2.75
201,16576,21.0,2022-01-01,1,Arsenal,Man City,1.0,2.0,1.14,1.93,0.78,2.17
202,16577,21.0,2022-01-02,1,Brentford,Aston Villa,2.0,1.0,1.33,1.28,0.59,1.22
203,16578,21.0,2022-01-02,1,Chelsea,Liverpool,2.0,2.0,1.5,1.77,1.63,1.71
204,16579,21.0,2022-01-01,1,Crystal Palace,West Ham,2.0,3.0,1.26,1.47,3.07,2.15
205,16580,21.0,2022-01-02,1,Everton,Brighton,2.0,3.0,1.16,1.24,1.85,1.5
206,16581,21.0,2022-01-02,1,Leeds,Burnley,3.0,1.0,1.55,1.25,1.94,1.11
207,16582,36.0,2022-05-11,0,Leicester,Norwich,,,1.87,0.92,,
208,16583,21.0,2022-01-03,1,Man Utd,Wolves,0.0,1.0,1.58,0.8,0.88,0.87
209,16584,28.0,2022-03-10,1,Southampton,Newcastle,1.0,2.0,1.57,1.16,1.9,0.91
210,16585,21.0,2022-01-01,1,Watford,Spurs,0.0,1.0,1.17,1.8,0.35,2.67
211,16586,22.0,2022-01-15,1,Aston Villa,Man Utd,2.0,2.0,1.36,1.49,2.02,1.24
212,16587,22.0,2022-01-14,1,Brighton,Crystal Palace,1.0,1.0,1.52,1.01,2.21,0.52
213,16588,27.0,2022-03-01,1,Burnley,Leicester,0.0,2.0,1.47,1.4,1.31,1.68
214,16589,22.0,2022-01-16,1,Liverpool,Brentford,3.0,0.0,2.78,0.68,3.36,0.41
215,16590,22.0,2022-01-15,1,Man City,Chelsea,1.0,0.0,1.99,1.05,0.92,0.55
216,16591,22.0,2022-01-15,1,Newcastle,Watford,1.0,1.0,1.43,1.3,1.34,1.6
217,16592,22.0,2022-01-15,1,Norwich,Everton,2.0,1.0,1.07,1.53,1.07,0.74
218,16593,36.0,2022-05-12,0,Spurs,Arsenal,,,1.53,1.39,,
219,16594,22.0,2022-01-16,1,West Ham,Leeds,2.0,3.0,1.88,1.15,2.33,2.0
220,16595,22.0,2022-01-15,1,Wolves,Southampton,3.0,1.0,1.26,0.89,2.27,0.97
221,16596,23.0,2022-01-23,1,Arsenal,Burnley,0.0,0.0,1.96,0.79,1.57,0.43
222,16597,23.0,2022-01-22,1,Brentford,Wolves,1.0,2.0,1.09,1.08,0.94,0.24
223,16598,23.0,2022-01-23,1,Chelsea,Spurs,2.0,0.0,1.7,1.14,1.21,0.39
224,16599,23.0,2022-01-23,1,Crystal Palace,Liverpool,1.0,3.0,0.97,2.55,1.7,1.49
225,16600,23.0,2022-01-22,1,Everton,Aston Villa,0.0,1.0,1.42,1.39,1.54,0.92
226,16601,23.0,2022-01-22,1,Leeds,Newcastle,0.0,1.0,1.76,1.14,1.22,1.19
227,16602,23.0,2022-01-23,1,Leicester,Brighton,1.0,1.0,1.45,1.47,2.05,1.33
228,16603,23.0,2022-01-22,1,Man Utd,West Ham,1.0,0.0,1.73,1.44,1.55,0.32
229,16604,23.0,2022-01-22,1,Southampton,Man City,1.0,1.0,0.76,2.51,1.16,1.94
230,16605,23.0,2022-01-21,1,Watford,Norwich,0.0,3.0,1.54,0.94,1.55,0.92
231,16606,24.0,2022-02-09,1,Aston Villa,Leeds,3.0,3.0,1.64,1.21,1.8,2.18
232,16607,22.0,2022-01-18,1,Brighton,Chelsea,1.0,1.0,1.0,1.51,0.71,0.59
233,16608,24.0,2022-02-08,1,Burnley,Man Utd,1.0,1.0,1.18,1.58,0.82,1.79
234,16609,24.0,2022-02-09,1,Norwich,Crystal Palace,1.0,1.0,1.1,1.45,0.48,1.21
235,16610,24.0,2022-02-08,1,West Ham,Watford,1.0,0.0,1.84,1.04,1.02,0.37
236,16611,24.0,2022-02-10,1,Wolves,Arsenal,0.0,1.0,0.88,1.28,0.78,1.45
237,16614,24.0,2022-02-10,1,Liverpool,Leicester,2.0,0.0,2.96,1.0,2.8,0.43
238,16615,24.0,2022-02-09,1,Man City,Brentford,2.0,0.0,2.72,0.46,1.99,0.55
239,16612,24.0,2022-02-08,1,Newcastle,Everton,3.0,1.0,1.32,1.39,2.7,0.84
240,16613,24.0,2022-02-09,1,Spurs,Southampton,2.0,3.0,1.95,0.88,2.15,2.0
241,16616,25.0,2022-02-12,1,Brentford,Crystal Palace,0.0,0.0,1.36,1.27,1.8,0.57
242,16617,25.0,2022-02-13,1,Burnley,Liverpool,0.0,1.0,0.85,2.5,1.21,2.51
243,16618,33.0,2022-04-20,1,Chelsea,Arsenal,2.0,4.0,1.56,1.13,0.67,1.82
244,16619,25.0,2022-02-12,1,Everton,Leeds,3.0,0.0,1.61,1.43,2.25,0.29
245,16620,25.0,2022-02-13,1,Leicester,West Ham,2.0,2.0,1.61,1.61,1.36,0.96
246,16621,25.0,2022-02-12,1,Man Utd,Southampton,1.0,1.0,1.85,1.08,2.46,0.69
247,16622,25.0,2022-02-13,1,Newcastle,Aston Villa,1.0,0.0,1.33,1.42,0.45,0.56
248,16623,25.0,2022-02-12,1,Norwich,Man City,0.0,4.0,0.53,2.58,0.4,4.76
249,16624,25.0,2022-02-13,1,Spurs,Wolves,0.0,2.0,1.53,0.82,1.16,1.66
250,16625,25.0,2022-02-12,1,Watford,Brighton,0.0,2.0,1.03,1.4,0.58,1.99
251,16626,26.0,2022-02-19,1,Arsenal,Brentford,2.0,1.0,1.84,0.71,1.67,0.65
252,16627,26.0,2022-02-19,1,Aston Villa,Watford,0.0,1.0,1.66,0.95,1.15,1.81
253,16628,26.0,2022-02-19,1,Brighton,Burnley,0.0,3.0,1.48,0.84,0.6,0.74
254,16629,26.0,2022-02-19,1,Crystal Palace,Chelsea,0.0,1.0,0.95,1.78,0.63,1.19
255,16630,26.0,2022-02-20,1,Leeds,Man Utd,2.0,4.0,1.33,1.8,1.53,2.42
256,16631,26.0,2022-02-19,1,Liverpool,Norwich,3.0,1.0,2.94,0.4,3.67,0.54
257,16632,26.0,2022-02-19,1,Man City,Spurs,2.0,3.0,2.46,0.79,2.54,2.23
258,16633,26.0,2022-02-19,1,Southampton,Everton,2.0,0.0,1.54,1.28,2.44,0.27
259,16634,26.0,2022-02-19,1,West Ham,Newcastle,1.0,1.0,1.72,1.0,0.89,1.19
260,16635,26.0,2022-02-20,1,Wolves,Leicester,2.0,1.0,1.44,1.16,0.58,1.3
