fpl_id,understat_id,fpl_name,position,team_name
453,614.0,Fernando Luiz Rosa,M,Man City
454,,Matthew Pollock,D,Watford
455,9738.0,Patson Daka,F,Leicester
456,1707.0,Ben Gibson,D,Norwich
457,9745.0,Dimitris Giannoulis,D,Norwich
458,6310.0,Boubakary Soumaré,M,Leicester
459,554.0,Juan Mata,M,Man Utd
460,6500.0,Romain Perraud,D,Southampton
461,8934.0,Francisco Machado Mota de Castro Trincão,M,Wolves
462,9734.0,Enock Mwepu,M,Brighton
463,6485.0,Héctor Junior Firpo Adames,D,Leeds
464,9948.0,Michael Olise,M,Crystal Palace
465,708.0,Federico Fernández,D,Newcastle
466,9691.0,Nuno Varela Tavares,D,Arsenal
467,6538.0,Oghenekaro Peter Etebo,M,Watford
468,465.0,Joshua King,F,Watford
469,,Adedapo Awokoya-Mebude,F,Watford
470,6674.0,Rayan Ait Nouri,D,Wolves
471,5619.0,Pierre Lees-Melou,M,Norwich
472,6954.0,Juan Camilo Hernández Suárez,F,Watford
473,835.0,Ryan Bertrand,D,Leicester
474,510.0,Joel Ward,D,Crystal Palace
475,9740.0,José Malheiro de Sá,G,Wolves
476,,Kjell Scherpen,G,Brighton
477,7603.0,Marc Guéhi,D,Crystal Palace
478,9689.0,Albert Sambi Lokonga,M,Arsenal
479,9681.0,Frank Onyeka,M,Brentford
480,509.0,Wayne Hennessey,G,Burnley
481,694.0,Asmir Begović,G,Everton
482,775.0,Andros Townsend,M,Everton
483,9677.0,Kristoffer Ajer,D,Brentford
484,762.0,Demarai Gray,M,Everton
485,6345.0,Jadon Sancho,M,Man Utd
486,,Pierluigi Gollini,G,Spurs
487,7338.0,Bryan Gil Salvatierra,M,Spurs
488,6314.0,Joachim Andersen,D,Crystal Palace
489,2310.0,Alphonse Areola,G,West Ham
490,9700.0,Kristoffer Klaesson,G,Leeds
491,9512.0,Tino Livramento,D,Southampton
492,5221.0,Leon Bailey,M,Aston Villa
493,603.0,Nathaniel Clyne,D,Crystal Palace
494,7218.0,Cristian Romero,D,Spurs
495,1123.0,Juraj Kucka,M,Watford
496,,Aaron Ramsey,M,Aston Villa
497,9415.0,Jaden Philogene-Bidace,M,Aston Villa
498,9915.0,Dominic Thompson,D,Brentford
499,9914.0,Shandon Baptiste,M,Brentford
500,,Florin Andone,F,Brighton
501,5648.0,Malang Sarr,D,Chelsea
502,1084.0,Jonjoe Kenny,D,Everton
503,8150.0,Anthony Gordon,M,Everton
504,4764.0,Jean-Philippe Gbamin,M,Everton
505,9739.0,Kiernan Dewsbury-Hall,M,Leicester
506,7546.0,Harvey Elliott,M,Liverpool
507,8497.0,Cole Palmer,M,Man City
